OBJECTID_1,ZCTA5CE10,FIRST_STAT,FIRST_GEOI,FIRST_CLAS,FIRST_MTFC,FIRST_FUNC,ZCTA5N,STATE,AREALAND,AREAWATR,POP100,HU100,NHW,NHB,NHAI,NHA,NHNH,NHO,NHT,HISP,PNHW,PNHB,PNHAI,PNHA,PNHNH,PNHO,PNHT,PHISP,POP65_,PCTPOP65_,MEDAGE,VACNS,PVACNS,PHOWN,PWOMORT,PRENT,PLT18SP,REPORT_2_P,REPORT_9_P,Shape_Length,Shape_Area
423,21821,24,2421821,B5,G6350,S,21821,24,28297631,12589440,991,734,856,103,4,8,0,7,10,3,86.4,10.4,0.4,0.8,0,0.7,1,0.3,238,24,51.7,106,14.4,52,39.5,14.1,33.6,http://mdpgis.mdp.state.md.us/Census2010/PDF/00_SF1DP_2Profile_ZCTA/21821.pdf,http://mdpgis.mdp.state.md.us/census2010/PDF/00_SF1_9PROFILE_ZCTAW/21821.pdf,120826.378209092,47864073.1068721
424,21822,24,2421822,B5,G6350,S,21822,24,73145717,2284863,1930,827,1476,345,11,23,0,2,38,35,76.5,17.9,0.6,1.2,0,0.1,2,1.8,283,14.7,44.5,49,5.9,56.8,34.6,13.1,28,http://mdpgis.mdp.state.md.us/Census2010/PDF/00_SF1DP_2Profile_ZCTA/21822.pdf,http://mdpgis.mdp.state.md.us/census2010/PDF/00_SF1_9PROFILE_ZCTAW/21822.pdf,147186.973186628,119463825.195432
425,21824,24,2421824,B5,G6350,S,21824,24,5692314,1189430,198,181,188,6,0,2,0,0,2,0,94.9,3,0,1,0,0,1,0,71,35.9,58,35,19.3,38.9,59.3,4.2,38.9,http://mdpgis.mdp.state.md.us/Census2010/PDF/00_SF1DP_2Profile_ZCTA/21824.pdf,http://mdpgis.mdp.state.md.us/census2010/PDF/00_SF1_9PROFILE_ZCTAW/21824.pdf,55654.3147486004,9335899.79903566
426,21826,24,2421826,B5,G6350,S,21826,24,11422761,165880,4837,2028,2865,1501,31,154,0,21,113,152,59.2,31,0.6,3.2,0,0.4,2.3,3.1,506,10.5,32.5,194,9.6,44.8,27.2,38.5,42,http://mdpgis.mdp.state.md.us/Census2010/PDF/00_SF1DP_2Profile_ZCTA/21826.pdf,http://mdpgis.mdp.state.md.us/census2010/PDF/00_SF1_9PROFILE_ZCTAW/21826.pdf,37636.4583934277,18847083.0472815
427,21829,24,2421829,B5,G6350,S,21829,24,47170995,5926773,527,247,435,55,2,1,0,0,10,24,82.5,10.4,0.4,0.2,0,0,1.9,4.6,107,20.3,44.2,27,10.9,43.1,43.1,24.2,33.9,http://mdpgis.mdp.state.md.us/Census2010/PDF/00_SF1DP_2Profile_ZCTA/21829.pdf,http://mdpgis.mdp.state.md.us/census2010/PDF/00_SF1_9PROFILE_ZCTAW/21829.pdf,100195.60825544,77498111.6927441
428,21830,24,2421830,B5,G6350,S,21830,24,81112328,2294778,4026,1591,3342,502,7,31,0,2,62,80,83,12.5,0.2,0.8,0,0,1.5,2,527,13.1,39.7,98,6.2,65.2,22.3,16,24.8,http://mdpgis.mdp.state.md.us/Census2010/PDF/00_SF1DP_2Profile_ZCTA/21830.pdf,http://mdpgis.mdp.state.md.us/census2010/PDF/00_SF1_9PROFILE_ZCTAW/21830.pdf,119207.394266317,132880884.640318
429,21835,24,2421835,B5,G6350,S,21835,24,20827542,340679,507,235,412,61,3,4,0,0,5,22,81.3,12,0.6,0.8,0,0,1,4.3,90,17.8,47.4,16,6.8,30,65.6,12.7,41,http://mdpgis.mdp.state.md.us/Census2010/PDF/00_SF1DP_2Profile_ZCTA/21835.pdf,http://mdpgis.mdp.state.md.us/census2010/PDF/00_SF1_9PROFILE_ZCTAW/21835.pdf,35349.683205811,34645946.7339208
430,21837,24,2421837,B5,G6350,S,21837,24,115023862,8456657,2614,1119,1899,560,12,9,2,6,60,66,72.6,21.4,0.5,0.3,0.1,0.2,2.3,2.5,372,14.2,41.6,109,9.7,57.3,29,19.3,33.9,http://mdpgis.mdp.state.md.us/Census2010/PDF/00_SF1DP_2Profile_ZCTA/21837.pdf,http://mdpgis.mdp.state.md.us/census2010/PDF/00_SF1_9PROFILE_ZCTAW/21837.pdf,241864.860355667,188301185.233526
431,21838,24,2421838,B5,G6350,S,21838,24,138436073,18580362,1736,894,1201,324,9,15,0,2,26,159,69.2,18.7,0.5,0.9,0,0.1,1.5,9.2,312,18,45.8,144,16.1,50.5,40.1,15.6,36.3,http://mdpgis.mdp.state.md.us/Census2010/PDF/00_SF1DP_2Profile_ZCTA/21838.pdf,http://mdpgis.mdp.state.md.us/census2010/PDF/00_SF1_9PROFILE_ZCTAW/21838.pdf,269310.904612669,228099428.719184
432,21840,24,2421840,B5,G6350,S,21840,24,13555319,19331009,375,276,276,75,1,1,0,2,5,15,73.6,20,0.3,0.3,0,0.5,1.3,4,92,24.5,51.8,41,14.9,50.9,39.2,16.4,35,http://mdpgis.mdp.state.md.us/Census2010/PDF/00_SF1DP_2Profile_ZCTA/21840.pdf,http://mdpgis.mdp.state.md.us/census2010/PDF/00_SF1_9PROFILE_ZCTAW/21840.pdf,55610.356153314,22040664.8371637
